"","Importance","vector","type","label","units","parent_vector","aggregation","details","Var.ID"
"1",3,"v_CA06_1","Total","Population, 2006","Number",NA,"Additive","Census 2006; 100% data; Population; Population, 2006",1
"2",3,"v_CA06_2","Total","Total population by sex and age groups","Number",NA,"Additive","Census 2006; 100% data; Population; Total population by sex and age groups",2
"3",3,"v_CA06_3","Total","Male, total","Number","v_CA06_2","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total",3
"4",3,"v_CA06_4","Total","0 to 4 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 0 to 4 years",4
"5",3,"v_CA06_5","Total","5 to 9 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 5 to 9 years",5
"6",3,"v_CA06_6","Total","10 to 14 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 10 to 14 years",6
"7",3,"v_CA06_7","Total","15 to 19 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 15 to 19 years",7
"8",3,"v_CA06_8","Total","20 to 24 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 20 to 24 years",8
"9",3,"v_CA06_9","Total","25 to 29 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 25 to 29 years",9
"10",3,"v_CA06_10","Total","30 to 34 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 30 to 34 years",10
"11",3,"v_CA06_11","Total","35 to 39 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 35 to 39 years",11
"12",3,"v_CA06_12","Total","40 to 44 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 40 to 44 years",12
"13",3,"v_CA06_13","Total","45 to 49 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 45 to 49 years",13
"14",3,"v_CA06_14","Total","50 to 54 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 50 to 54 years",14
"15",3,"v_CA06_15","Total","55 to 59 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 55 to 59 years",15
"16",3,"v_CA06_16","Total","60 to 64 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 60 to 64 years",16
"17",3,"v_CA06_17","Total","65 to 69 years","Number","v_CA06_3","Additive","Census 2006; 100% data; Population; Total population by sex and age groups; Male, total; 65 to 69 years",17
